Participante,Ordem,Classificação,Tempo Gasto
bc2584302fffead698e1809107a60040,1,positiva,299.2
bc2584302fffead698e1809107a60040,2,positiva,11.47
bc2584302fffead698e1809107a60040,3,negativa,16.59
bc2584302fffead698e1809107a60040,4,neutra,22.17
bc2584302fffead698e1809107a60040,5,positiva,5.72
bc2584302fffead698e1809107a60040,6,positiva,8.04
bc2584302fffead698e1809107a60040,7,positiva,2.75
bc2584302fffead698e1809107a60040,8,positiva,32.54
bc2584302fffead698e1809107a60040,9,neutra,10.87
bc2584302fffead698e1809107a60040,10,negativa,3.44
bc2584302fffead698e1809107a60040,11,positiva,5.52
bc2584302fffead698e1809107a60040,12,neutra,3.67
bc2584302fffead698e1809107a60040,13,positiva,4.08
bc2584302fffead698e1809107a60040,14,negativa,8.82
bc2584302fffead698e1809107a60040,15,positiva,5.52
bc2584302fffead698e1809107a60040,16,negativa,2.9
bc2584302fffead698e1809107a60040,17,neutra,4.98
bc2584302fffead698e1809107a60040,18,negativa,11.28
bc2584302fffead698e1809107a60040,19,negativa,4.7
bc2584302fffead698e1809107a60040,20,positiva,6.86
bc2584302fffead698e1809107a60040,21,negativa,2.14
bc2584302fffead698e1809107a60040,22,positiva,6.4
bc2584302fffead698e1809107a60040,23,negativa,8.18
bc2584302fffead698e1809107a60040,24,positiva,3.7
bc2584302fffead698e1809107a60040,25,negativa,5.25
bc2584302fffead698e1809107a60040,26,neutra,4.14
bc2584302fffead698e1809107a60040,27,positiva,5.59
bc2584302fffead698e1809107a60040,28,negativa,7.56
bc2584302fffead698e1809107a60040,29,positiva,1917.07
bc2584302fffead698e1809107a60040,30,negativa,6.48
bc2584302fffead698e1809107a60040,31,positiva,67.03
bc2584302fffead698e1809107a60040,32,positiva,5.47
bc2584302fffead698e1809107a60040,33,positiva,6.09
bc2584302fffead698e1809107a60040,34,positiva,2.53
bc2584302fffead698e1809107a60040,35,negativa,4.75
bc2584302fffead698e1809107a60040,36,positiva,14.49
bc2584302fffead698e1809107a60040,37,negativa,1.85
bc2584302fffead698e1809107a60040,38,neutra,3.54
bc2584302fffead698e1809107a60040,39,positiva,10.86
bc2584302fffead698e1809107a60040,40,negativa,3.28
bc2584302fffead698e1809107a60040,41,positiva,3.56
bc2584302fffead698e1809107a60040,42,negativa,14.9
bc2584302fffead698e1809107a60040,43,positiva,4.18
bc2584302fffead698e1809107a60040,44,positiva,10.21
bc2584302fffead698e1809107a60040,45,positiva,10.87
bc2584302fffead698e1809107a60040,46,neutra,6.51
bc2584302fffead698e1809107a60040,47,positiva,7.14
bc2584302fffead698e1809107a60040,48,negativa,5.86
bc2584302fffead698e1809107a60040,49,negativa,8.08
bc2584302fffead698e1809107a60040,50,negativa,2.06
bc2584302fffead698e1809107a60040,51,positiva,5.76
bc2584302fffead698e1809107a60040,52,negativa,6.4
bc2584302fffead698e1809107a60040,53,neutra,4.88
bc2584302fffead698e1809107a60040,54,positiva,5.07
bc2584302fffead698e1809107a60040,55,negativa,6.14
bc2584302fffead698e1809107a60040,56,negativa,1902.94
bc2584302fffead698e1809107a60040,57,neutra,2.54
bc2584302fffead698e1809107a60040,58,positiva,12.9
bc2584302fffead698e1809107a60040,59,positiva,10.1
bc2584302fffead698e1809107a60040,60,positiva,10.8
bc2584302fffead698e1809107a60040,61,positiva,2.04
bc2584302fffead698e1809107a60040,62,negativa,11.25
bc2584302fffead698e1809107a60040,63,negativa,3.86
bc2584302fffead698e1809107a60040,64,positiva,16.65
bc2584302fffead698e1809107a60040,65,negativa,3.0
bc2584302fffead698e1809107a60040,66,negativa,3.37
bc2584302fffead698e1809107a60040,67,positiva,41.37
bc2584302fffead698e1809107a60040,68,negativa,550.98
bc2584302fffead698e1809107a60040,69,negativa,3.04
bc2584302fffead698e1809107a60040,70,negativa,7.99
bc2584302fffead698e1809107a60040,71,neutra,4.07
bc2584302fffead698e1809107a60040,72,negativa,3.18
bc2584302fffead698e1809107a60040,73,negativa,3.2
bc2584302fffead698e1809107a60040,74,positiva,3.25
bc2584302fffead698e1809107a60040,75,positiva,3.51
bc2584302fffead698e1809107a60040,76,negativa,2.34
bc2584302fffead698e1809107a60040,77,positiva,7.62
bc2584302fffead698e1809107a60040,78,negativa,5.65
bc2584302fffead698e1809107a60040,79,neutra,7.41
bc2584302fffead698e1809107a60040,80,negativa,5.29
bc2584302fffead698e1809107a60040,81,positiva,5.38
bc2584302fffead698e1809107a60040,82,negativa,2.24
bc2584302fffead698e1809107a60040,83,negativa,3.05
bc2584302fffead698e1809107a60040,84,positiva,84.26
bc2584302fffead698e1809107a60040,85,neutra,4.17
bc2584302fffead698e1809107a60040,86,positiva,2.76
bc2584302fffead698e1809107a60040,87,negativa,5.3
bc2584302fffead698e1809107a60040,88,negativa,23.87
bc2584302fffead698e1809107a60040,89,positiva,62.64
bc2584302fffead698e1809107a60040,90,neutra,6.69
bc2584302fffead698e1809107a60040,91,negativa,3.43
bc2584302fffead698e1809107a60040,92,positiva,5.0
bc2584302fffead698e1809107a60040,93,positiva,4.55
bc2584302fffead698e1809107a60040,94,neutra,2.84
bc2584302fffead698e1809107a60040,95,negativa,3.44
bc2584302fffead698e1809107a60040,96,positiva,7.87
bc2584302fffead698e1809107a60040,97,neutra,3.09
bc2584302fffead698e1809107a60040,98,positiva,2.81
bc2584302fffead698e1809107a60040,99,positiva,8.84
bc2584302fffead698e1809107a60040,100,negativa,2.39
bc2584302fffead698e1809107a60040,101,positiva,3.36
bc2584302fffead698e1809107a60040,102,negativa,3.01
bc2584302fffead698e1809107a60040,103,negativa,3.0
bc2584302fffead698e1809107a60040,104,neutra,2.16
bc2584302fffead698e1809107a60040,105,neutra,11.88
bc2584302fffead698e1809107a60040,106,positiva,3.61
bc2584302fffead698e1809107a60040,107,positiva,3.23
bc2584302fffead698e1809107a60040,108,positiva,8.74
bc2584302fffead698e1809107a60040,109,positiva,4.11
bc2584302fffead698e1809107a60040,110,positiva,2.13
bc2584302fffead698e1809107a60040,111,positiva,5.19
bc2584302fffead698e1809107a60040,112,neutra,6.37
bc2584302fffead698e1809107a60040,113,negativa,3.78
bc2584302fffead698e1809107a60040,114,positiva,2.94
bc2584302fffead698e1809107a60040,115,negativa,1.95
bc2584302fffead698e1809107a60040,116,negativa,6.61
bc2584302fffead698e1809107a60040,117,positiva,2.78
bc2584302fffead698e1809107a60040,118,neutra,4.01
bc2584302fffead698e1809107a60040,119,negativa,26.19
bc2584302fffead698e1809107a60040,120,positiva,2.86
bc2584302fffead698e1809107a60040,121,positiva,6.38
bc2584302fffead698e1809107a60040,122,negativa,148.96
bc2584302fffead698e1809107a60040,123,negativa,2.59
bc2584302fffead698e1809107a60040,124,positiva,1.84
bc2584302fffead698e1809107a60040,125,neutra,2.55
bc2584302fffead698e1809107a60040,126,negativa,4.22
bc2584302fffead698e1809107a60040,127,positiva,5.38
bc2584302fffead698e1809107a60040,128,positiva,2.08
bc2584302fffead698e1809107a60040,129,negativa,3.83
bc2584302fffead698e1809107a60040,130,negativa,7.29
bc2584302fffead698e1809107a60040,131,negativa,3.06
bc2584302fffead698e1809107a60040,132,positiva,9.46
bc2584302fffead698e1809107a60040,133,positiva,3.1
bc2584302fffead698e1809107a60040,134,neutra,3.0
bc2584302fffead698e1809107a60040,135,positiva,3.95
bc2584302fffead698e1809107a60040,136,neutra,3.46
bc2584302fffead698e1809107a60040,137,positiva,5.61
bc2584302fffead698e1809107a60040,138,neutra,2.46
bc2584302fffead698e1809107a60040,139,positiva,2.7
bc2584302fffead698e1809107a60040,140,positiva,7.87
bc2584302fffead698e1809107a60040,141,negativa,3.45
bc2584302fffead698e1809107a60040,142,positiva,3.52
bc2584302fffead698e1809107a60040,143,negativa,3.6
bc2584302fffead698e1809107a60040,144,negativa,2.75
bc2584302fffead698e1809107a60040,145,positiva,2.64
bc2584302fffead698e1809107a60040,146,positiva,3.61
bc2584302fffead698e1809107a60040,147,positiva,2.84
bc2584302fffead698e1809107a60040,148,negativa,3.58
bc2584302fffead698e1809107a60040,149,positiva,3.22
bc2584302fffead698e1809107a60040,150,positiva,20.46
bdf066947686ab2cd01768f202816430,1,positiva,39.66
bdf066947686ab2cd01768f202816430,2,positiva,24.25
bdf066947686ab2cd01768f202816430,3,neutra,133.32
bdf066947686ab2cd01768f202816430,4,positiva,10.34
bdf066947686ab2cd01768f202816430,5,positiva,5.13
bdf066947686ab2cd01768f202816430,6,negativa,8.81
bdf066947686ab2cd01768f202816430,7,positiva,3.65
bdf066947686ab2cd01768f202816430,8,positiva,32.38
bdf066947686ab2cd01768f202816430,9,negativa,3.99
bdf066947686ab2cd01768f202816430,10,negativa,4.38
bdf066947686ab2cd01768f202816430,11,positiva,28.29
bdf066947686ab2cd01768f202816430,12,neutra,3.25
bdf066947686ab2cd01768f202816430,13,neutra,3.73
bdf066947686ab2cd01768f202816430,14,negativa,10.37
bdf066947686ab2cd01768f202816430,15,negativa,10.53
bdf066947686ab2cd01768f202816430,16,neutra,3.14
bdf066947686ab2cd01768f202816430,17,neutra,3.75
bdf066947686ab2cd01768f202816430,18,negativa,14.5
bdf066947686ab2cd01768f202816430,19,negativa,147.34
bdf066947686ab2cd01768f202816430,20,negativa,5.39
bdf066947686ab2cd01768f202816430,21,neutra,2.9
bdf066947686ab2cd01768f202816430,22,neutra,4.78
bdf066947686ab2cd01768f202816430,23,neutra,6.43
bdf066947686ab2cd01768f202816430,24,neutra,7.12
bdf066947686ab2cd01768f202816430,25,neutra,8.08
bdf066947686ab2cd01768f202816430,26,neutra,1.99
bdf066947686ab2cd01768f202816430,27,neutra,4.83
bdf066947686ab2cd01768f202816430,28,neutra,5.44
bdf066947686ab2cd01768f202816430,29,neutra,13.47
bdf066947686ab2cd01768f202816430,30,neutra,7.61
bdf066947686ab2cd01768f202816430,31,neutra,12.62
bdf066947686ab2cd01768f202816430,32,neutra,10.42
bdf066947686ab2cd01768f202816430,33,neutra,3.12
bdf066947686ab2cd01768f202816430,34,positiva,4.39
bdf066947686ab2cd01768f202816430,35,negativa,6.62
bdf066947686ab2cd01768f202816430,36,neutra,10.45
bdf066947686ab2cd01768f202816430,37,negativa,3.24
bdf066947686ab2cd01768f202816430,38,neutra,2.1
bdf066947686ab2cd01768f202816430,39,positiva,14.34
bdf066947686ab2cd01768f202816430,40,negativa,9.4
bdf066947686ab2cd01768f202816430,41,neutra,3.13
bdf066947686ab2cd01768f202816430,42,negativa,7.51
bdf066947686ab2cd01768f202816430,43,neutra,2.98
bdf066947686ab2cd01768f202816430,44,neutra,7.59
bdf066947686ab2cd01768f202816430,45,neutra,3.91
bdf066947686ab2cd01768f202816430,46,neutra,6.1
bdf066947686ab2cd01768f202816430,47,neutra,6.9
bdf066947686ab2cd01768f202816430,48,negativa,15.29
bdf066947686ab2cd01768f202816430,49,negativa,8.96
bdf066947686ab2cd01768f202816430,50,negativa,3.88
bdf066947686ab2cd01768f202816430,51,neutra,6.39
bdf066947686ab2cd01768f202816430,52,negativa,6.46
bdf066947686ab2cd01768f202816430,53,neutra,7.7
bdf066947686ab2cd01768f202816430,54,neutra,13.82
bdf066947686ab2cd01768f202816430,55,negativa,11.5
bdf066947686ab2cd01768f202816430,56,neutra,13.17
bdf066947686ab2cd01768f202816430,57,neutra,2.48
bdf066947686ab2cd01768f202816430,58,neutra,49.28
bdf066947686ab2cd01768f202816430,59,positiva,9.52
bdf066947686ab2cd01768f202816430,60,neutra,4.93
bdf066947686ab2cd01768f202816430,61,positiva,2.88
bdf066947686ab2cd01768f202816430,62,neutra,4.06
bdf066947686ab2cd01768f202816430,63,negativa,5.32
bdf066947686ab2cd01768f202816430,64,negativa,10.3
bdf066947686ab2cd01768f202816430,65,neutra,4.77
bdf066947686ab2cd01768f202816430,66,negativa,5.82
bdf066947686ab2cd01768f202816430,67,neutra,7.28
bdf066947686ab2cd01768f202816430,68,negativa,7.48
bdf066947686ab2cd01768f202816430,69,neutra,6.77
bdf066947686ab2cd01768f202816430,70,neutra,7.98
bdf066947686ab2cd01768f202816430,71,neutra,3.98
bdf066947686ab2cd01768f202816430,72,neutra,2.99
bdf066947686ab2cd01768f202816430,73,negativa,9.12
bdf066947686ab2cd01768f202816430,74,neutra,2.48
bdf066947686ab2cd01768f202816430,75,negativa,13.22
bdf066947686ab2cd01768f202816430,76,neutra,4.42
bdf066947686ab2cd01768f202816430,77,neutra,11.2
bdf066947686ab2cd01768f202816430,78,neutra,3.22
bdf066947686ab2cd01768f202816430,79,neutra,7.29
bdf066947686ab2cd01768f202816430,80,negativa,3.05
bdf066947686ab2cd01768f202816430,81,neutra,11.73
bdf066947686ab2cd01768f202816430,82,negativa,3.06
bdf066947686ab2cd01768f202816430,83,negativa,8.84
bdf066947686ab2cd01768f202816430,84,neutra,13.43
bdf066947686ab2cd01768f202816430,85,neutra,3.29
bdf066947686ab2cd01768f202816430,86,neutra,1.99
bdf066947686ab2cd01768f202816430,87,neutra,4.09
bdf066947686ab2cd01768f202816430,88,positiva,10.2
bdf066947686ab2cd01768f202816430,89,negativa,8.42
bdf066947686ab2cd01768f202816430,90,negativa,4.25
bdf066947686ab2cd01768f202816430,91,positiva,9.72
bdf066947686ab2cd01768f202816430,92,neutra,7.38
bdf066947686ab2cd01768f202816430,93,neutra,7.18
bdf066947686ab2cd01768f202816430,94,neutra,5.61
bdf066947686ab2cd01768f202816430,95,negativa,5.04
bdf066947686ab2cd01768f202816430,96,positiva,4.81
bdf066947686ab2cd01768f202816430,97,neutra,3.63
bdf066947686ab2cd01768f202816430,98,neutra,2.56
bdf066947686ab2cd01768f202816430,99,neutra,18.7
bdf066947686ab2cd01768f202816430,100,positiva,5.92
bdf066947686ab2cd01768f202816430,101,positiva,4.87
bdf066947686ab2cd01768f202816430,102,negativa,5.97
bdf066947686ab2cd01768f202816430,103,negativa,7.05
bdf066947686ab2cd01768f202816430,104,neutra,2.76
bdf066947686ab2cd01768f202816430,105,neutra,4.79
bdf066947686ab2cd01768f202816430,106,positiva,3.18
bdf066947686ab2cd01768f202816430,107,neutra,2.77
bdf066947686ab2cd01768f202816430,108,positiva,7.85
bdf066947686ab2cd01768f202816430,109,neutra,10.32
bdf066947686ab2cd01768f202816430,110,neutra,2.06
bdf066947686ab2cd01768f202816430,111,neutra,6.83
bdf066947686ab2cd01768f202816430,112,neutra,9.26
bdf066947686ab2cd01768f202816430,113,neutra,2.27
bdf066947686ab2cd01768f202816430,114,neutra,12.5
bdf066947686ab2cd01768f202816430,115,negativa,3.8
bdf066947686ab2cd01768f202816430,116,neutra,10.96
bdf066947686ab2cd01768f202816430,117,positiva,1302.68
bdf066947686ab2cd01768f202816430,118,neutra,2.34
bdf066947686ab2cd01768f202816430,119,neutra,5.43
bdf066947686ab2cd01768f202816430,120,neutra,3.21
bdf066947686ab2cd01768f202816430,121,neutra,7.64
bdf066947686ab2cd01768f202816430,122,negativa,427.02
bdf066947686ab2cd01768f202816430,123,negativa,8.64
bdf066947686ab2cd01768f202816430,124,positiva,3.46
bdf066947686ab2cd01768f202816430,125,negativa,3.94
bdf066947686ab2cd01768f202816430,126,neutra,6.5
bdf066947686ab2cd01768f202816430,127,neutra,8.53
bdf066947686ab2cd01768f202816430,128,neutra,1.79
bdf066947686ab2cd01768f202816430,129,neutra,3.08
bdf066947686ab2cd01768f202816430,130,neutra,7.44
bdf066947686ab2cd01768f202816430,131,neutra,2.87
bdf066947686ab2cd01768f202816430,132,neutra,7.55
bdf066947686ab2cd01768f202816430,133,positiva,6.29
bdf066947686ab2cd01768f202816430,134,neutra,2.46
bdf066947686ab2cd01768f202816430,135,positiva,7.1
bdf066947686ab2cd01768f202816430,136,neutra,5.24
bdf066947686ab2cd01768f202816430,137,neutra,2.57
bdf066947686ab2cd01768f202816430,138,neutra,3.38
bdf066947686ab2cd01768f202816430,139,neutra,2.08
bdf066947686ab2cd01768f202816430,140,negativa,5.67
bdf066947686ab2cd01768f202816430,141,negativa,6.36
bdf066947686ab2cd01768f202816430,142,neutra,5.0
bdf066947686ab2cd01768f202816430,143,neutra,5.04
bdf066947686ab2cd01768f202816430,144,negativa,4.19
bdf066947686ab2cd01768f202816430,145,positiva,5.79
bdf066947686ab2cd01768f202816430,146,positiva,6.24
bdf066947686ab2cd01768f202816430,147,neutra,4.17
bdf066947686ab2cd01768f202816430,148,neutra,7.41
bdf066947686ab2cd01768f202816430,149,neutra,2.13
bdf066947686ab2cd01768f202816430,150,positiva,8.17
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,1,positiva,14.93
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,2,positiva,6.07
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,3,neutra,13.95
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,4,neutra,9.8
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,5,neutra,4.55
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,6,positiva,10.01
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,7,positiva,2.0
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,8,positiva,3.8
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,9,neutra,9.75
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,10,neutra,5.01
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,11,positiva,5.62
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,12,neutra,6.16
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,13,neutra,6.63
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,14,negativa,15.1
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,15,neutra,11.86
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,16,negativa,6.76
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,17,negativa,3.66
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,18,negativa,8.46
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,19,negativa,16.69
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,20,positiva,11.28
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,21,positiva,3.86
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,22,neutra,8.06
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,23,positiva,5.99
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,24,positiva,6.59
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,25,positiva,7.4
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,26,positiva,5.62
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,27,negativa,144.93
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,28,neutra,8.31
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,29,negativa,3.31
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,30,neutra,5.76
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,31,negativa,10.16
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,32,negativa,11.5
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,33,positiva,3.44
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,34,positiva,4.05
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,35,neutra,7.54
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,36,negativa,8.52
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,37,positiva,8.67
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,38,positiva,6.45
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,39,positiva,4.12
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,40,neutra,4.94
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,41,negativa,4.16
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,42,neutra,6.76
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,43,positiva,14.83
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,44,negativa,6.81
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,45,neutra,3.98
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,46,positiva,43.08
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,47,positiva,5.36
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,48,negativa,35.29
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,49,positiva,3.72
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,50,neutra,5.2
